"","Protein_ID","Species","Function","Appearances"
"1","P24534","Human","Elongation factor 1-beta","1"
"2","P32471","Yeast","Elongation factor 1-beta","1"
"3","P48006","Arabidopsis","Elongation factor 1-delta 1","1"
"4","Q84WM9","Arabidopsis","Elongation factor 1-beta 1","1"
"5","Q9SI20","Arabidopsis","Elongation factor 1-delta 2","1"
"6","A0A654EC95","Arabidopsis","Protein MAK16 homolog","2"
"7","P10962","Yeast","Protein MAK16","2"
"8","Q9BXY0","Human","Protein MAK16 homolog","2"
"9","F4I9M9","Arabidopsis","glutamate dehydrogenase (NADP(+))","3, 933"
"10","P00367","Human","Glutamate dehydrogenase 1, mitochondrial","3, 933"
"11","P39708","Yeast","NADP-specific glutamate dehydrogenase 2","3"
"12","P49448","Human","Glutamate dehydrogenase 2, mitochondrial","3, 933"
"13","P39706","Yeast","COMPASS component SWD1","4"
"14","Q15291","Human","Retinoblastoma-binding protein 5","4"
"15","Q5E915","Arabidopsis","Protein RBL","4"
"16","F4IJA6","Arabidopsis","Replication protein A subunit","5"
"17","P22336","Yeast","Replication factor A protein 1","5"
"18","P27694","Human","Replication protein A 70 kDa DNA-binding subunit","5"
"19","Q9FME0","Arabidopsis","Replication protein A 70 kDa DNA-binding subunit D","5"
"20","Q9SD82","Arabidopsis","Replication protein A 70 kDa DNA-binding subunit B","5"
"21","B9DGD6","Arabidopsis","Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal","6, 673"
"22","Q01574","Yeast","Acetyl-coenzyme A synthetase 1","6"
"23","Q9NR19","Human","Acetyl-coenzyme A synthetase, cytoplasmic","6, 673"
"24","Q9NUB1","Human","Acetyl-coenzyme A synthetase 2-like, mitochondrial","6, 673"
"25","C0SUW8","Arabidopsis","Eukaryotic translation initiation factor 5B (Fragment)","7"
"26","F4I420","Arabidopsis","Eukaryotic translation initiation factor 5B","7"
"27","O60841","Human","Eukaryotic translation initiation factor 5B","7"
"28","P39730","Yeast","Eukaryotic translation initiation factor 5B","7"
"29","Q9SRE1","Arabidopsis","Eukaryotic translation initiation factor 5B","7"
"30","P39729","Yeast","Ribosome-interacting GTPase 1","8"
"31","Q9CAI1","Arabidopsis","Developmentally-regulated G-protein 2","8, 468"
"32","Q9LQK0","Arabidopsis","Developmentally-regulated G-protein 1","8, 468"
"33","Q9SVA6","Arabidopsis","Developmentally-regulated G-protein 3","8, 468"
"34","Q9Y295","Human","Developmentally-regulated GTP-binding protein 1","8"
"35","A0A654FBX6","Arabidopsis","Dienelactone hydrolase domain-containing protein","9"
"36","P39721","Yeast","Protein AIM2","9"
"37","Q94JY3","Arabidopsis","Alpha/beta-Hydrolases superfamily protein","9"
"38","Q96DG6","Human","Carboxymethylenebutenolidase homolog","9"
"39","O82179","Arabidopsis","Glycine cleavage system H protein 2, mitochondrial","10"
"40","P23434","Human","Glycine cleavage system H protein, mitochondrial","10"
"41","P25855","Arabidopsis","Glycine cleavage system H protein 1, mitochondrial","10"
